Tick;Step;DateTime;ID
26;26;2021-01-01T11:00:26.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
26;26;2021-01-01T11:00:26.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
26;26;2021-01-01T11:00:26.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
27;27;2021-01-01T11:00:27.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
27;27;2021-01-01T11:00:27.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
27;27;2021-01-01T11:00:27.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
28;28;2021-01-01T11:00:28.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
28;28;2021-01-01T11:00:28.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
28;28;2021-01-01T11:00:28.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
29;29;2021-01-01T11:00:29.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
29;29;2021-01-01T11:00:29.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
29;29;2021-01-01T11:00:29.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
30;30;2021-01-01T11:00:30.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
30;30;2021-01-01T11:00:30.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
30;30;2021-01-01T11:00:30.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
31;31;2021-01-01T11:00:31.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
31;31;2021-01-01T11:00:31.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
31;31;2021-01-01T11:00:31.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
32;32;2021-01-01T11:00:32.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
32;32;2021-01-01T11:00:32.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
32;32;2021-01-01T11:00:32.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
33;33;2021-01-01T11:00:33.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
33;33;2021-01-01T11:00:33.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
33;33;2021-01-01T11:00:33.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
34;34;2021-01-01T11:00:34.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
34;34;2021-01-01T11:00:34.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
34;34;2021-01-01T11:00:34.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
35;35;2021-01-01T11:00:35.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
35;35;2021-01-01T11:00:35.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
35;35;2021-01-01T11:00:35.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
36;36;2021-01-01T11:00:36.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
36;36;2021-01-01T11:00:36.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
36;36;2021-01-01T11:00:36.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
37;37;2021-01-01T11:00:37.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
37;37;2021-01-01T11:00:37.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
37;37;2021-01-01T11:00:37.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
38;38;2021-01-01T11:00:38.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
38;38;2021-01-01T11:00:38.0000000+01:00;cd38724d-339d-4edd-b0ba-92f9e0cb004a
38;38;2021-01-01T11:00:38.0000000+01:00;8fa537be-2e95-4da2-ba0e-08d74419f84a
39;39;2021-01-01T11:00:39.0000000+01:00;567b18eb-d06d-47d6-bc7c-49ee2db1a4a2
