Tick;Step;ID
12;12;99a685cb-de85-41cf-9d6c-23159af52d5d
13;13;dde95fd4-5078-4e26-877d-087b0e809876
13;13;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
13;13;6a8cde9d-2e73-4894-a015-c9f29e03e6df
13;13;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
13;13;99a685cb-de85-41cf-9d6c-23159af52d5d
14;14;dde95fd4-5078-4e26-877d-087b0e809876
14;14;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
14;14;6a8cde9d-2e73-4894-a015-c9f29e03e6df
14;14;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
14;14;99a685cb-de85-41cf-9d6c-23159af52d5d
15;15;dde95fd4-5078-4e26-877d-087b0e809876
15;15;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
15;15;6a8cde9d-2e73-4894-a015-c9f29e03e6df
15;15;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
15;15;99a685cb-de85-41cf-9d6c-23159af52d5d
16;16;dde95fd4-5078-4e26-877d-087b0e809876
16;16;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
16;16;6a8cde9d-2e73-4894-a015-c9f29e03e6df
16;16;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
16;16;99a685cb-de85-41cf-9d6c-23159af52d5d
17;17;dde95fd4-5078-4e26-877d-087b0e809876
17;17;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
17;17;6a8cde9d-2e73-4894-a015-c9f29e03e6df
17;17;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
17;17;99a685cb-de85-41cf-9d6c-23159af52d5d
18;18;dde95fd4-5078-4e26-877d-087b0e809876
18;18;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
18;18;6a8cde9d-2e73-4894-a015-c9f29e03e6df
18;18;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
18;18;99a685cb-de85-41cf-9d6c-23159af52d5d
19;19;dde95fd4-5078-4e26-877d-087b0e809876
19;19;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
19;19;6a8cde9d-2e73-4894-a015-c9f29e03e6df
19;19;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
19;19;99a685cb-de85-41cf-9d6c-23159af52d5d
20;20;dde95fd4-5078-4e26-877d-087b0e809876
20;20;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
20;20;6a8cde9d-2e73-4894-a015-c9f29e03e6df
20;20;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
20;20;99a685cb-de85-41cf-9d6c-23159af52d5d
21;21;dde95fd4-5078-4e26-877d-087b0e809876
21;21;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
21;21;6a8cde9d-2e73-4894-a015-c9f29e03e6df
21;21;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
21;21;99a685cb-de85-41cf-9d6c-23159af52d5d
22;22;dde95fd4-5078-4e26-877d-087b0e809876
22;22;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
22;22;6a8cde9d-2e73-4894-a015-c9f29e03e6df
22;22;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
22;22;99a685cb-de85-41cf-9d6c-23159af52d5d
23;23;dde95fd4-5078-4e26-877d-087b0e809876
23;23;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
23;23;6a8cde9d-2e73-4894-a015-c9f29e03e6df
23;23;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
23;23;99a685cb-de85-41cf-9d6c-23159af52d5d
24;24;dde95fd4-5078-4e26-877d-087b0e809876
24;24;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
24;24;6a8cde9d-2e73-4894-a015-c9f29e03e6df
24;24;0c114998-0ed9-47c9-8e70-0e2f2d6f40ea
24;24;99a685cb-de85-41cf-9d6c-23159af52d5d
25;25;dde95fd4-5078-4e26-877d-087b0e809876
25;25;4faf5995-5bd0-446a-9f5f-b5d75bc50c18
