Region,InitPop
CANAKKALE,0
ANAMUR,20
CANDIR,0
ANDIRIN,8
CANKAYA,4
CANKIRI,0
ANTAKYA,28
CARSAMBA,0
ARIFIYE,5
CARSIBASI,0
ARAC,0
ARABAN,51
ARAKLI,0
ARALIK,5
ARAPGIR,2
ARDAHAN,5
CARDAK,5
ARDANUC,5
ARDESEN,0
ARGUVAN,2
ARHAVI,5
ARICAK,1
ARMUTLU,0
ARNAVUTKOY,13
ARPACAY,0
ARSIN,0
ARSUZ,28
ARTOVA,0
ARTUKLU,9
ARTVIN,5
ASARCIK,0
ASLANAPA,0
CAT,0
ATASEHIR,13
ATABEY,0
CATAK,0
ATAKUM,0
CATALCA,13
CATALPINAR,0
CATALZEYTIN,0
ATKARACALAR,0
AVANOS,1
AVCILAR,13
CAVDARHISAR,0
CAVDIR,5
CAY,5
AYAS,4
AYANCIK,0
CAYBASI,0
AYBASTI,0
CAYCUMA,0
AYDINCIK,20
AYDINTEPE,5
CAYELI,0
CAYIRALAN,0
CAYIRLI,0
CAYIROVA,4
CAYKARA,0
AYRANCI,0
AYVACIK,0
AYVALIK,0
AZIZIYE,0
AZDAVAY,0
BIGA,0
BIGADIC,0
BIRECIK,33
BISMIL,1
BASCIFTLIK,0
BASISKELE,4
BASAKSEHIR,13
BAGCILAR,13
BASKALE,0
BAGLAR,1
BASMAKCI,5
BASYAYLA,0
BABADAG,5
BABAESKI,0
BAFRA,0
BAHSILI,0
BAHCE,6
BAHCELIEVLER,13
BAHCESARAY,0
BAKIRKOY,13
BAKLAN,5
BALA,4
BALISEYH,0
BALCOVA,4
BALYA,0
BANAZ,0
BANDIRMA,0
BARTIN,0
BASKIL,1
BATMAN,2
BATTALGAZI,2
BAYAT,5
BAYBURT,5
BAYINDIR,4
BAYKAN,0
BAYRAKLI,4
BAYRAMIC,0
BAYRAMPASA,13
BAYRAMOREN,0
BESIKDUZU,0
BESIKTAS,13
BESIRI,2
BEKILLI,5
BELEN,28
BERGAMA,4
BESNI,2
BEYSEHIR,3
BEYAGAC,5
BEYDAG,4
BEYKOZ,13
BEYLIKDUZU,13
BEYLIKOVA,0
BEYOGLU,13
BEYPAZARI,4
BEYTUSSEBAP,2
BILECIK,0
BINGOL,0
BITLIS,0
BUNYAN,5
BOGAZKALE,0
BOGAZLIYAN,0
BODRUM,5
BOLU,5
BOLVADIN,5
BOR,0
BORCKA,5
BORNOVA,4
BOYABAT,0
BOZCAADA,0
BOZDOGAN,0
BOZKIR,3
BOZKURT,5
BOZOVA,33
BOZTEPE,0
BOZYAZI,20
BOZUYUK,0
BUCA,4
BUCAK,5
BUHARKENT,0
BULANCAK,0
BULANIK,0
BULDAN,5
BURDUR,5
BURHANIYE,0
BUYUKCEKMECE,13
BUYUKORHAN,10
CIDE,0
CIHANBEYLI,3
CIZRE,2
CANIK,0
CEYHAN,17
CEYLANPINAR,33
CUMAYERI,0
DICLE,1
DIDIM,0
DOSEMEALTI,0
DIGOR,0
DIKILI,4
DIKMEN,0
DILOVASI,4
DINAR,5
DIVRIGI,0
DIYADIN,0
DADAY,0
DALAMAN,5
DAMAL,5
DARENDE,2
DARGECIT,9
DARICA,4
DATCA,5
DAZKIRI,5
DEFNE,28
DELICE,0
ODEMIS,4
DEMIRCI,5
DEMIRKOY,0
DEMIROZU,5
DEMRE,0
DERIK,9
DERINCE,4
DERINKUYU,1
DERBENT,3
DEREBUCAK,3
DERELI,0
DEREPAZARI,0
DERNEKPAZARI,0
DEVELI,5
DEVREK,0
DEVREKANI,0
DOGANSAR,0
DOGANSEHIR,2
DOGANHISAR,3
DOGANKENT,0
DOGANYOL,2
DOGANYURT,0
DOGUBAYAZIT,0
DODURGA,0
DOMANIC,0
DORTDIVAN,5
DORTYOL,28
DULKADIROGLU,8
DUMLUPINAR,0
DURAGAN,0
DURSUNBEY,0
DUZICI,6
DUZCE,0
DUZKOY,0
EGIL,1
EGIRDIR,0
CESME,4
ESME,0
ECEABAT,0
EDIRNE,0
EDREMIT,0
EFELER,0
EFLANI,0
EKINOZU,8
CEKEREK,0
CEKMEKOY,13
CELIKHAN,2
ELAZIG,1
ELBISTAN,8
ELBEYLI,26
ELDIVAN,0
ELESKIRT,0
CELEBI,0
ELMADAG,4
ELMALI,0
CELTIK,3
CELTIKCI,5
CEMISGEZEK,5
EMIRDAG,5
EMIRGAZI,3
EMET,0
ENEZ,0
ERBAA,0
ERCIS,0
ERDEK,0
ERDEMLI,20
EREGLI,3
ERENLER,5
ERFELEK,0
ERGANI,1
ERGENE,1
CERKES,0
CERKEZKOY,1
CERMIK,1
ERMENEK,0
ERUH,0
ERZIN,28
ERZINCAN,0
ESENLER,13
ESENYURT,13
ESKIPAZAR,0
ESPIYE,0
ETIMESGUT,4
EVCILER,5
EVREN,4
EYNESIL,0
EYUPSULTAN,13
EYYUBIYE,33
EZINE,0
FINIKE,0
FATIH,13
FATSA,0
FEKE,17
FELAHIYE,5
FERIZLI,5
FETHIYE,5
FINDIKLI,0
FOCA,4
GAZIOSMANPASA,13
GAZIEMIR,4
GAZIPASA,0
GUCE,0
GUDUL,4
GEBZE,4
GEDIZ,0
GELIBOLU,0
GELENDOST,0
GEMEREK,0
GEMLIK,10
GENC,0
GERCUS,2
GEREDE,5
GERGER,2
GERMENCIK,0
GERZE,0
GEVAS,0
GEYVE,5
GIRESUN,0
GOKCEADA,0
GOKCEBEY,0
GOKSUN,8
GULSEHIR,1
GULAGAC,0
GOLBASI,2
GOLCUK,4
GOLE,5
GOLHISAR,5
GUCLUKONAK,2
GOLKOY,0
GOLMARMARA,5
GULNAR,20
GOLOVA,0
GOLPAZARI,0
GOLYAKA,0
GULYALI,0
GUMUSHACIKOY,0
GUMUSHANE,0
GUMUSOVA,0
GOMEC,0
GUNDOGMUS,0
GONEN,0
GUNEY,5
GUNEYSINIR,3
GUNEYSU,0
GUNGOREN,13
GUNYUZU,0
GORDES,5
GORELE,0
GURGENTEPE,0
GURUN,0
GUROYMAK,0
GURPINAR,0
GURSU,10
GOYNUCEK,0
GOYNUK,5
GUZELBAHCE,4
GUZELYURT,0
HILVAN,33
HISARCIK,0
HIZAN,0
HACIBEKTAS,1
HACILAR,5
HADIM,3
HAFIK,0
HAKKARI,0
HALILIYE,33
HALFETI,33
HALKAPINAR,3
HAMAMOZU,0
HAMUR,0
HAN,0
HANI,1
HANAK,5
HANONU,0
HARMANCIK,10
HARRAN,33
HASANBEYLI,6
HASANKEYF,2
HASKOY,0
HASSA,28
HAVRAN,0
HAVSA,0
HAVZA,0
HAYMANA,4
HAYRABOLU,1
HAYRAT,0
HAZRO,1
HEKIMHAN,2
HEMSIN,0
HENDEK,5
HINIS,0
HOCALAR,5
HONAZ,5
HOPA,5
HORASAN,0
HOZAT,5
HUYUK,3
IGDIR,5
CILDIR,5
ILGAZ,0
ILGIN,3
CINAR,1
CINARCIK,0
ISPARTA,0
KIGI,0
KOSK,0
KILIMLI,0
KIRAZ,4
KAS,0
KAGITHANE,13
KAGIZMAN,0
KABADUZ,0
KABATAS,0
KADIRLI,6
KADISEHRI,0
KADIKOY,13
KADINHANI,3
KAHRAMANKAZAN,4
KALE,5
KALECIK,4
KALKANDERE,0
KAMAN,0
KANDIRA,4
KANGAL,0
KAPAKLI,1
KARSIYAKA,4
KARAISALI,17
KARABAGLAR,4
KARABUK,0
KARABURUN,4
KARACABEY,10
KARACASU,0
KARAHALLI,0
KARAKECILI,0
KARAKOCAN,1
KARAKOYUNLU,5
KARAKOPRU,33
KARAMAN,0
KARAMANLI,5
KARAMURSEL,4
KARACOBAN,0
KARAPINAR,3
KARAPURCEK,5
KARASU,5
KARATAS,17
KARATAY,3
KARAYAZI,0
KARESI,0
KARGI,0
KARKAMIS,51
KARLIOVA,0
KARPUZLU,0
KARS,0
KARTAL,13
KARTEPE,4
KASTAMONU,0
KAVAK,0
KAVAKLIDERE,5
KAYAPINAR,1
KAYNASLI,0
KAYNARCA,5
KAZIMKARABEKIR,0
KESAN,0
KESAP,0
KECIBORLU,0
KECIOREN,4
KEBAN,1
KELES,10
KELKIT,0
KEMAH,0
KEMALIYE,0
KEMALPASA,4
KEMER,0
KEPEZ,0
KEPSUT,0
KESKIN,0
KESTEL,10
KAHTA,2
KIBRISCIK,5
KILIS,26
KINIK,4
KIRSEHIR,0
KIRIKHAN,28
KIRIKKALE,0
KIRKAGAC,5
KIRKLARELI,0
KIZILCAHAMAM,4
KIZILIRMAK,0
KIZILOREN,5
KIZILTEPE,9
KUCUKCEKMECE,13
KOCARLI,0
KOCAALI,5
KOCAKOY,1
KOCASINAN,5
KOFCAZ,0
KONAK,4
KONYAALTI,0
KORGAN,0
KORGUN,0
KORKUT,0
KORKUTELI,0
KOVANCILAR,1
KOYULHISAR,0
KOZAKLI,1
KOZAN,17
KOZLU,0
KOZLUK,2
KOPRUBASI,5
KOPRUKOY,0
KURE,0
KORFEZ,4
KURTUN,0
KOSE,0
KUTAHYA,0
KUSADASI,0
KULA,5
KULP,1
KULU,3
KULUNCAK,2
KUMLU,28
KUMLUCA,0
KUMRU,0
KURSUNLU,0
KURTALAN,0
KURUCASILE,0
KUYUCAK,0
KOYCEGIZ,5
LICE,1
LACIN,0
LADIK,0
LALAPASA,0
LULEBURGAZ,0
LAPSEKI,0
MIDYAT,9
MIHALGAZI,0
MIHALICCIK,0
MILAS,5
MADEN,1
MAHMUDIYE,0
MACKA,0
MALAZGIRT,0
MALKARA,1
MALTEPE,13
MAMAK,4
MANAVGAT,0
MANYAS,0
MARMARIS,5
MARMARA,0
MARMARAEREGLISI,1
MAZGIRT,5
MAZIDAGI,9
MECITOZU,0
MELIKGAZI,5
MENDERES,4
MENEMEN,4
MENGEN,5
MENTESE,5
MERIC,0
MERAM,3
MERKEZEFENDI,5
OMERLI,9
MERZIFON,0
MESUDIYE,0
MEZITLI,20
UMRANIYE,13
MUS,0
MUCUR,0
MUDANYA,10
MUDURNU,5
MURADIYE,0
MURATLI,1
MURATPASA,0
MURGUL,5
MUSABEYLI,26
MUSTAFAKEMALPASA,10
MUT,20
MUTKI,0
NIKSAR,0
NILUFER,10
NIZIP,51
NALLIHAN,4
NARLIDERE,4
NARMAN,0
NAZILLI,0
NAZIMIYE,5
NEVSEHIR,1
CUNGUS,1
NIGDE,0
NURDAGI,51
NURHAK,8
NUSAYBIN,9
UNYE,0
OGUZELI,51
OGUZLAR,0
COBANLAR,5
ODUNPAZARI,0
OF,0
OLTU,0
OLUR,0
ONIKISUBAT,8
ORHANELI,10
ORHANGAZI,10
CORLU,1
ORTA,0
ORTACA,5
ORTAHISAR,0
ORTAKOY,0
CORUM,0
OSMANCIK,0
OSMANELI,0
OSMANGAZI,10
OSMANIYE,6
OTLUKBELI,0
OVACIK,0
PIRAZIZ,0
PALANDOKEN,0
PALU,1
PAMUKKALE,5
PAMUKOVA,5
PASINLER,0
PATNOS,0
PAYAS,28
PAZAR,0
PAZARCIK,8
PAZARLAR,0
PAZARYERI,0
PAZARYOLU,0
PEHLIVANKOY,0
PENDIK,13
PERSEMBE,0
PERTEK,5
PERVARI,0
PINARBASI,0
PINARHISAR,0
PULUMUR,5
POLATELI,26
POLATLI,4
POSOF,5
POZANTI,17
PUTURGE,2
PURSAKLAR,4
RESADIYE,0
REFAHIYE,0
REYHANLI,28
URGUP,1
RIZE,0
SILIFKE,20
SILIVRI,13
SILOPI,2
SILVAN,1
SIMAV,0
SINANPASA,5
SINCIK,2
SINCAN,4
SOGUT,0
SOGUTLU,5
SIVASLI,0
SIVEREK,33
SIVRICE,1
SIVRIHISAR,0
SAIMBEYLI,17
SAFRANBOLU,0
SALIHLI,5
SALIPAZARI,0
SAMANDAG,28
SAMSAT,2
SANCAKTEPE,13
SANDIKLI,5
SAPANCA,5
SARAY,1
SARAYDUZU,0
SARAYKENT,0
SARAYKOY,5
SARAYONU,3
SARICAM,17
SARICAKAYA,0
SARIGOL,5
SARIKAMIS,0
SARIKAYA,0
SARIOGLAN,5
SARIVELILER,0
SARIYAHSI,0
SARIYER,13
SARIZ,5
SARKISLA,0
SARUHANLI,5
SASON,2
SAVASTEPE,0
SAVUR,9
SEBEN,5
SEFERIHISAR,4
SELIM,0
SELENDI,5
SELCUK,4
SELCUKLU,3
SENIRKENT,0
SERIK,0
SERINHISAR,5
SERDIVAN,5
SEYITGAZI,0
SEYDISEHIR,3
SEYDIKEMER,5
SEYDILER,0
SEYHAN,17
SIIRT,0
SINDIRGI,0
SINOP,0
SIVAS,0
USKUDAR,13
SOKE,0
SULEYMANPASA,1
SULOGLU,0
SOLHAN,0
SOMA,5
SORGUN,0
SURMENE,0
SUTCULER,0
SUSEHRI,0
SULAKYURT,0
SULTANBEYLI,13
SULTANDAGI,5
SULTANGAZI,13
SULTANHISAR,0
SULUOVA,0
SULUSARAY,0
SUMBAS,6
SUNGURLU,0
SUR,1
SURUC,33
SUSURLUK,0
SUSUZ,0
TILLO,0
TIRE,4
TIREBOLU,0
TASKENT,3
TASKOPRU,0
TASLICAY,0
TASOVA,0
TALAS,5
TARAKLI,5
TARSUS,20
TATVAN,0
TAVSANLI,0
TAVAS,5
TEFENNI,5
TEKKEKOY,0
TEKMAN,0
TEPEBASI,0
TERCAN,0
TERMAL,0
TERME,0
TOKAT,0
TOMARZA,5
TONYA,0
TOPRAKKALE,6
TORBALI,4
TOROSLAR,20
TORTUM,0
TORUL,0
TOSYA,0
TURKELI,0
TURKOGLU,8
TUSBA,0
TUFANBEYLI,17
TUNCELI,5
TURGUTLU,5
TURHAL,0
TUT,2
TUTAK,0
TUZLA,13
TUZLUCA,5
TUZLUKCU,3
USAK,0
UGURLUDAG,0
CUBUK,4
CUKURCA,0
CUKUROVA,17
ULA,5
ULAS,0
ULUBEY,0
ULUBORLU,0
ULUDERE,2
ULUKISLA,0
ULUS,0
CUMRA,3
URLA,4
UZUNDERE,0
UZUNKOPRU,0
VIRANSEHIR,33
VIZE,0
VAKFIKEBIR,0
VARTO,0
VEZIRKOPRU,0
YAGLIDERE,0
YAHSIHAN,0
YAHYALI,5
YAKAKENT,0
YAKUTIYE,0
YALIHUYUK,3
YALOVA,0
YALVAC,0
YAPRAKLI,0
YATAGAN,5
YAVUZELI,51
YAYLADAGI,28
YAYLADERE,0
YAZIHAN,2
YESILHISAR,5
YESILLI,9
YESILOVA,5
YESILYURT,2
YEDISU,0
YENISARBADEMLI,0
YENISEHIR,10
YENICAGA,5
YENICE,0
YENIFAKILI,0
YENIMAHALLE,4
YENIPAZAR,0
YERKOY,0
YIGILCA,0
YILDIRIM,10
YILDIZELI,0
YUKSEKOVA,0
YOMRA,0
YOZGAT,0
YUREGIR,17
YUMURTALIK,17
YUNAK,3
YUNUSEMRE,5
YUSUFELI,5
ZILE,0
OZALP,0
ZARA,0
ZEYTINBURNU,13
UZUMLU,0
ZONGULDAK,0
OZVATAN,5
SULTANHANI,0
DERECIK,0
AKSARAY,0
ESKIL,0
